item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
340,Water_Purification_Unit,21.7,17.5,47.0,8.92,99,,2472,Life_Support
341,Space_Suit,20.1,47.3,14.9,7.08,26,,869,Airlock
342,Radiation_Shield,13.0,26.0,39.1,6.61,17,,3172,Storage_Bay
343,Water_Purification_Unit,47.1,12.8,11.0,3.32,100,,4903,Life_Support
344,Thruster_Fuel,35.0,47.1,19.0,15.66,2,,4927,Storage_Bay
345,3D_Printer,23.1,44.8,38.7,20.02,41,,1298,Engineering_Bay
346,Scientific_Sensor,26.7,10.3,33.3,4.58,85,,1574,Lab
347,Food_Packet,21.2,27.4,18.1,1.8,96,2026-06-10,32,Storage_Bay
348,Protein_Bars,34.1,23.1,35.8,14.1,50,,66,Crew_Quarters
349,Antibiotic_Supply,15.3,15.7,21.1,2.53,78,2026-02-27,4593,Medical_Bay
350,Food_Packet,19.3,14.1,14.1,4.0,48,2025-05-16,95,Storage_Bay
351,3D_Printer,12.3,37.6,41.0,9.48,28,,27,Engineering_Bay
352,Helmet_Visor,10.7,21.6,40.2,4.65,45,,561,Crew_Quarters
353,Emergency_Oxygen_Mask,15.9,26.6,29.8,6.3,49,,1292,Crew_Quarters
354,Emergency_Oxygen_Mask,11.4,37.5,39.4,8.42,71,,989,Medical_Bay
355,Protein_Bars,46.0,45.4,29.0,30.28,16,,3021,Storage_Bay
356,Waste_Management_Kit,25.3,17.9,11.2,7.4,58,,22,Sanitation_Bay
357,Vacuum_Sealed_Tools,39.2,34.7,10.3,7.01,33,,3224,Storage_Bay
358,Battery_Pack,20.4,48.8,21.6,10.75,1,,465,Power_Bay
359,Medical_Scanner,24.5,30.7,36.5,13.73,29,2025-10-16,22,Lab
360,Waste_Management_Kit,25.9,20.4,19.8,7.7,4,,29,Sanitation_Bay
361,Battery_Pack,30.8,36.5,40.9,22.99,98,,727,Power_Bay
362,Seed_Packets,13.5,16.7,23.7,2.7,63,,63,Greenhouse
363,Lab_Microscope,27.3,14.9,30.0,6.1,21,,1800,Medical_Bay
364,EV_Suit_Battery,32.8,43.7,13.0,9.32,15,,414,Storage_Bay
365,Helmet_Visor,11.7,25.1,49.1,7.21,22,,773,Storage_Bay
366,Battery_Pack,38.2,13.8,14.2,3.74,67,,497,Power_Bay
367,Circuit_Board,14.8,21.6,14.9,2.38,19,,1925,Engineering_Bay
368,Asteroid_Sample_Container,13.7,16.8,22.6,7.8,73,,1501,Lab
369,Circuit_Board,18.5,33.5,25.5,7.9,79,,3183,Storage_Bay
370,Communication_Device,39.3,41.5,19.8,16.15,3,,749,Command_Center
371,Microgravity_Lab_Kit,17.8,16.4,21.1,3.0,51,,48,Crew_Quarters
372,Gyroscope_Module,47.6,12.3,39.9,11.68,28,,2056,Cockpit
373,Cooling_System,24.1,26.2,18.4,5.81,27,,146,Engineering_Bay
374,Vacuum_Sealed_Tools,10.3,11.9,15.2,0.93,70,,833,Maintenance_Bay
375,Lab_Microscope,10.7,38.0,43.4,8.82,97,,1851,Lab
376,Communication_Device,14.4,31.7,19.3,4.41,11,,1865,Crew_Quarters
377,Oxygen_Cylinder,25.6,26.3,92.9,35.4,87,,2827,Airlock
378,Circuit_Board,37.8,13.6,34.1,8.77,26,,2896,Storage_Bay
379,Scientific_Sensor,34.4,28.1,32.4,15.66,49,,2099,Lab
380,3D_Printer,25.6,32.1,12.3,5.05,12,,29,Lab
381,Communication_Device,30.9,48.5,21.2,15.89,41,,4229,Crew_Quarters
382,3D_Printer,39.8,22.5,42.7,19.12,53,,570,Engineering_Bay
383,Medical_Scanner,41.5,30.1,22.3,13.93,24,2025-06-10,95,Lab
384,Radiation_Shield,10.4,14.2,19.5,1.44,34,,814,Storage_Bay
385,Circuit_Board,37.1,16.9,14.0,4.39,3,,4002,Engineering_Bay
386,EV_Suit_Battery,23.4,12.3,39.1,5.63,17,,460,Airlock
387,Water_Bottle,31.2,34.3,11.4,6.1,7,,2300,Storage_Bay
388,Radiation_Shield,18.6,15.3,14.1,2.01,95,,4956,Storage_Bay
389,Antibiotic_Supply,15.0,24.9,28.0,5.23,71,2025-10-10,1392,Medical_Bay
390,Space_Suit,38.9,10.8,34.5,7.25,32,,3349,Airlock
391,EV_Suit_Battery,26.2,40.8,31.1,16.62,19,,428,Storage_Bay
392,EV_Suit_Battery,43.1,47.9,34.9,36.03,96,,747,Airlock
393,Antibiotic_Supply,30.6,32.6,15.0,7.48,23,2026-03-19,2745,Medical_Bay
394,Circuit_Board,16.3,15.8,14.6,1.88,22,,4330,Engineering_Bay
395,Microgravity_Lab_Kit,21.6,27.3,17.4,1.9,72,,72,Lab
396,LED_Work_Light,12.1,49.3,46.0,13.72,89,,4775,Maintenance_Bay
397,Communication_Device,15.1,48.7,28.8,10.59,91,,3803,Crew_Quarters
398,Oxygen_Cylinder,25.5,23.9,81.5,43.0,9,,92,Crew_Quarters
399,Handheld_Spectrometer,11.7,32.8,44.5,8.54,23,,1223,Lab
400,Communication_Device,44.7,32.5,22.1,16.05,58,,4420,Crew_Quarters
401,LED_Work_Light,12.0,29.3,18.3,3.22,100,,2684,Engineering_Bay
402,CO2_Scrubber,15.3,39.7,45.4,13.79,86,,753,Life_Support
403,Cooling_System,43.6,31.7,16.4,11.33,45,,2306,Engineering_Bay
404,First_Aid_Kit,27.8,15.7,19.7,4.0,67,,72,Crew_Quarters
405,Cooling_System,37.5,27.6,19.6,10.14,56,,3237,Engineering_Bay
406,Thruster_Fuel,32.0,28.5,37.7,17.19,66,,3017,Storage_Bay
407,Emergency_Beacon,29.0,30.8,12.8,5.72,59,,1198,Command_Center
408,Gyroscope_Module,21.5,16.9,30.0,5.45,74,,3313,Engineering_Bay
409,Water_Purification_Unit,44.6,20.8,31.5,14.61,99,,161,Life_Support
410,Microgravity_Lab_Kit,29.0,19.6,10.8,1.0,56,,74,Crew_Quarters
411,Communication_Device,20.0,22.9,42.1,9.64,88,,3512,Command_Center
412,Scientific_Sensor,30.5,19.3,26.0,7.65,83,,2311,Cockpit
413,Waste_Management_Kit,21.2,26.1,17.1,2.1,6,,66,Sanitation_Bay
414,Asteroid_Sample_Container,24.7,20.0,17.2,9.9,80,,4508,Storage_Bay
415,Circuit_Board,12.9,17.6,39.2,4.45,60,,589,Engineering_Bay
416,LED_Work_Light,12.7,29.8,19.5,3.69,70,,4743,Maintenance_Bay
417,LED_Work_Light,43.9,15.3,24.2,8.13,97,,2108,Maintenance_Bay
418,Gyroscope_Module,19.9,11.6,12.6,1.45,51,,1015,Engineering_Bay
419,Microgravity_Lab_Kit,29.9,14.7,12.1,4.7,57,,28,Lab
420,Radiation_Shield,14.5,43.6,13.1,4.14,73,,2318,Storage_Bay
421,Seed_Packets,29.5,19.4,28.8,9.1,68,,7,Greenhouse
422,Pressure_Regulator,12.0,49.7,10.2,3.04,6,,1368,Engineering_Bay
423,Tether_Reel,32.8,43.5,27.2,19.4,64,,642,Airlock
424,Helmet_Visor,42.5,22.9,13.9,6.76,8,,4135,Crew_Quarters
425,Microgravity_Lab_Kit,10.6,10.3,25.6,2.7,23,,29,Lab
426,Water_Bottle,13.9,32.4,23.7,5.34,85,,1046,Crew_Quarters
427,Tether_Reel,44.5,11.2,49.2,12.26,60,,2641,External_Storage
428,Antibiotic_Supply,39.8,13.2,32.5,8.54,78,2026-08-12,520,Lab
429,Battery_Pack,29.0,22.0,28.7,9.16,78,,867,External_Storage
430,3D_Printer,41.5,14.0,41.0,11.91,31,,1445,Lab
431,Pressure_Regulator,12.9,47.8,34.9,10.76,6,,2071,Engineering_Bay
432,Cooling_System,44.3,43.9,47.7,46.38,52,,814,Engineering_Bay
433,Thruster_Fuel,47.3,18.4,42.0,18.28,88,,3660,Storage_Bay
434,First_Aid_Kit,15.8,19.9,18.6,6.3,12,,1,Crew_Quarters
435,Microgravity_Lab_Kit,11.6,30.0,22.0,5.5,13,,24,Crew_Quarters
436,Asteroid_Sample_Container,12.4,16.7,18.1,2.1,44,,51,Lab
437,Lab_Microscope,41.1,18.3,40.8,15.34,82,,3276,Lab
438,Waste_Management_Kit,15.1,13.8,28.1,2.7,7,,35,Engineering_Bay
439,Emergency_Beacon,42.7,36.9,37.1,29.23,74,,3019,Command_Center
440,Emergency_Beacon,45.5,16.9,21.4,8.23,53,,1970,Command_Center
441,Battery_Pack,33.0,39.7,32.0,20.96,40,,466,External_Storage
442,First_Aid_Kit,16.5,18.8,23.2,7.6,21,,35,Medical_Bay
443,Solar_Panel,85.3,54.7,4.4,15.3,4,,2036,Power_Bay
444,Protein_Bars,19.7,11.6,27.2,3.11,97,,2543,Crew_Quarters
445,Handheld_Spectrometer,29.2,28.1,39.2,16.08,59,,4054,Lab
446,Navigation_Module,28.6,34.7,46.0,22.83,64,,239,Command_Center
447,Navigation_Module,47.1,36.4,45.9,39.35,87,,1425,Cockpit
448,Radiation_Shield,18.1,24.6,15.8,3.52,74,,885,Engineering_Bay
449,Seed_Packets,15.6,20.5,18.8,8.6,37,,80,Lab
450,Pressure_Regulator,45.5,41.4,20.4,19.21,13,,3844,Airlock
451,Fire_Extinguisher,36.9,21.0,28.9,11.2,85,,3780,Engineering_Bay
452,Water_Purification_Unit,16.2,36.7,34.4,10.23,57,,4546,Life_Support
453,LED_Work_Light,19.9,12.9,47.0,6.03,57,,1292,Maintenance_Bay
454,Handheld_Spectrometer,33.6,39.9,12.0,8.04,38,,1549,Lab
455,Thruster_Fuel,11.9,43.8,39.0,10.16,70,,2544,Engine_Bay
456,Water_Purification_Unit,48.7,38.5,31.5,29.53,96,,1811,Life_Support
457,3D_Printer,29.1,23.1,27.1,9.11,10,,2617,Engineering_Bay
458,Laptop,13.0,11.6,42.9,3.23,52,,4105,Command_Center
459,Lab_Microscope,18.6,31.5,11.5,3.37,8,,3818,Lab
460,Thruster_Fuel,10.7,41.8,42.5,9.5,55,,3411,Engine_Bay
461,Waste_Management_Kit,19.7,19.4,20.4,6.3,21,,17,Sanitation_Bay
462,Communication_Device,44.7,12.4,30.7,8.51,74,,3329,Command_Center
463,Seed_Packets,19.4,10.8,14.0,4.3,84,,88,Lab
464,First_Aid_Kit,28.1,29.3,14.5,7.7,34,,15,Crew_Quarters
465,CO2_Scrubber,11.5,32.2,45.5,8.42,70,,721,Life_Support
466,Circuit_Board,41.4,18.0,15.6,5.81,93,,4779,Engineering_Bay
467,Handheld_Spectrometer,36.4,24.6,29.9,13.39,37,,3294,Lab
468,Radiation_Shield,22.6,46.6,49.6,26.12,18,,1061,Engineering_Bay
469,Solar_Panel,43.4,76.1,2.1,16.6,42,,86,External_Storage
470,CO2_Scrubber,30.8,38.4,15.0,8.87,89,,346,Life_Support
471,3D_Printer,12.6,45.5,20.2,5.79,7,,4637,Lab
472,Microgravity_Lab_Kit,22.3,10.0,14.7,3.6,86,,41,Lab
473,EV_Suit_Battery,14.4,17.4,27.5,3.45,74,,640,Storage_Bay
474,Laptop,38.9,49.0,48.8,46.51,51,,4914,Crew_Quarters
475,Gyroscope_Module,47.2,28.2,24.2,16.11,14,,861,Cockpit
476,Emergency_Beacon,48.7,20.4,49.8,24.74,39,,3863,Cockpit
477,EV_Suit_Battery,40.8,21.1,41.2,17.73,73,,427,Storage_Bay
478,Circuit_Board,43.7,28.7,40.7,25.52,25,,111,Storage_Bay
479,Waste_Management_Kit,10.6,19.9,22.1,8.7,49,,97,Sanitation_Bay
480,Communication_Device,14.1,20.6,39.3,5.71,56,,3746,Command_Center
481,Emergency_Beacon,31.2,48.9,42.7,32.57,83,,2997,Command_Center
482,Navigation_Module,28.3,28.2,23.1,9.22,84,,415,Cockpit
483,Microgravity_Lab_Kit,29.3,11.7,19.4,8.8,93,,50,Lab
484,CO2_Scrubber,13.1,37.8,37.7,9.33,84,,890,Engineering_Bay
485,Cooling_System,10.8,19.1,25.3,2.61,62,,2767,Engineering_Bay
486,Research_Samples,10.0,16.2,23.4,2.0,38,,3790,Storage_Bay
487,Laptop,42.2,15.4,31.4,10.2,19,,2611,Command_Center
488,Cooling_System,47.0,11.4,13.2,3.54,2,,2371,Engineering_Bay
489,Pressure_Regulator,14.2,43.6,44.1,13.65,53,,4609,Engineering_Bay
490,Vacuum_Sealed_Tools,23.9,45.3,42.8,23.17,100,,201,Storage_Bay
491,3D_Printer,25.3,47.9,45.1,27.33,29,,1777,Lab
492,Gyroscope_Module,24.3,26.3,32.2,10.29,76,,2968,Cockpit
493,Asteroid_Sample_Container,12.2,29.1,19.1,9.9,92,,4544,Storage_Bay
494,Space_Suit,49.5,12.5,37.2,11.51,13,,2132,Storage_Bay
495,Fire_Extinguisher,40.9,41.2,14.4,12.13,56,,696,Engineering_Bay
496,Gyroscope_Module,34.1,19.4,41.2,13.63,50,,3581,Cockpit
497,Cooling_System,12.8,47.6,21.4,6.52,89,,4059,Engineering_Bay
498,Research_Samples,14.4,26.6,26.1,6.3,93,,2506,Lab
499,3D_Printer,14.3,41.1,47.5,13.96,63,,4144,Lab
500,Protein_Bars,11.1,35.0,37.3,7.25,1,,753,Crew_Quarters
501,CO2_Scrubber,37.4,44.9,42.4,35.6,29,,648,Life_Support
502,Vacuum_Sealed_Tools,48.9,42.7,37.3,38.94,85,,900,Storage_Bay
503,Tool_Kit,15.0,12.5,20.8,5.1,46,,98,Storage_Bay
504,Circuit_Board,17.3,45.7,32.5,12.85,20,,4019,Engineering_Bay
505,Food_Packet,21.5,24.9,27.0,6.8,38,2025-05-24,9,Storage_Bay
506,Research_Samples,24.6,27.1,22.0,3.5,31,,3829,Lab
507,Space_Suit,17.1,37.8,23.8,7.69,76,,2030,Airlock
508,Pressure_Regulator,35.5,10.4,25.6,4.73,48,,3544,Engineering_Bay
509,Pressure_Regulator,23.4,37.4,19.5,8.53,86,,1864,Engineering_Bay
510,First_Aid_Kit,24.5,25.9,27.4,4.7,92,,92,Crew_Quarters
511,Navigation_Module,34.7,37.3,36.4,23.56,5,,1407,Command_Center
512,Water_Bottle,34.6,46.6,32.9,26.52,96,,3017,Crew_Quarters
513,Medical_Scanner,23.5,15.9,35.7,6.67,73,2026-10-13,43,Lab
514,Oxygen_Cylinder,17.3,29.3,55.8,40.7,26,,4628,Medical_Bay
515,Tool_Kit,27.6,12.4,16.4,6.9,53,,49,Maintenance_Bay
516,Helmet_Visor,27.5,14.1,42.3,8.2,59,,1777,Crew_Quarters
517,Emergency_Oxygen_Mask,43.9,28.2,26.6,16.47,35,,2906,Crew_Quarters
518,Antibiotic_Supply,13.2,14.3,22.2,2.1,51,2025-06-17,3930,Lab
519,Tether_Reel,20.2,37.4,25.7,9.71,77,,211,Airlock
520,Solar_Panel,86.2,76.8,2.2,13.3,25,,1182,Power_Bay
521,Water_Bottle,36.3,36.8,36.7,24.51,79,,2366,Crew_Quarters
522,Communication_Device,22.7,28.4,17.7,5.71,82,,3017,Command_Center
523,EV_Suit_Battery,47.0,37.3,44.4,38.92,37,,381,Storage_Bay
524,Space_Suit,19.3,34.5,37.8,12.58,12,,4623,Airlock
525,Gyroscope_Module,41.9,13.2,29.2,8.07,10,,1666,Engineering_Bay
526,Cooling_System,48.2,44.8,40.7,43.94,87,,3275,Engineering_Bay
527,Water_Bottle,10.3,37.4,16.1,3.1,42,,3869,Storage_Bay
528,Research_Samples,15.7,28.7,12.1,9.9,90,,1246,Storage_Bay
529,Emergency_Oxygen_Mask,42.0,49.9,32.2,33.74,87,,1602,Crew_Quarters
530,Vacuum_Sealed_Tools,21.1,43.7,26.6,12.26,46,,4317,Storage_Bay
531,Lab_Microscope,47.1,30.7,20.8,15.04,44,,3004,Medical_Bay
532,Pressure_Regulator,16.5,46.4,15.0,5.74,17,,1144,Engineering_Bay
533,Pressure_Regulator,48.1,33.3,21.7,17.38,64,,3283,Engineering_Bay
534,Space_Suit,42.0,39.8,15.5,12.95,28,,1402,Storage_Bay
535,Emergency_Oxygen_Mask,41.6,47.0,19.1,18.67,22,,3502,Medical_Bay
536,First_Aid_Kit,18.2,20.8,21.4,3.4,79,,24,Medical_Bay
537,Oxygen_Cylinder,29.0,28.4,52.9,19.3,48,,2364,Crew_Quarters
538,Fire_Extinguisher,47.4,22.6,20.0,10.71,76,,3790,Engineering_Bay
539,Medical_Scanner,27.5,13.1,42.1,7.58,67,2026-06-27,67,Lab
540,Tool_Kit,16.2,16.4,16.5,4.5,77,,11,Maintenance_Bay
541,EV_Suit_Battery,28.0,37.2,23.3,12.13,41,,123,Airlock
542,Solar_Panel,74.0,48.6,1.3,14.4,49,,296,External_Storage
543,Vacuum_Sealed_Tools,26.1,13.1,35.4,6.05,43,,2732,Maintenance_Bay
544,Lab_Microscope,20.8,44.2,16.5,7.58,63,,2515,Lab
545,Circuit_Board,43.2,17.7,26.6,10.17,68,,1523,Engineering_Bay
546,Thruster_Fuel,26.0,24.8,29.4,9.48,43,,3498,Engine_Bay
547,3D_Printer,40.2,39.8,11.6,9.28,92,,7,Lab
548,Cooling_System,27.6,10.2,11.2,1.58,34,,2251,Power_Bay
549,Radiation_Shield,22.2,36.2,19.6,7.88,89,,2777,Storage_Bay
550,CO2_Scrubber,45.5,31.1,25.9,18.32,40,,217,Engineering_Bay
551,Research_Samples,13.3,19.7,25.6,2.1,21,,996,Lab
552,Protein_Bars,47.2,40.2,17.7,16.79,83,,3232,Storage_Bay
553,Protein_Bars,43.2,31.2,47.3,31.88,84,,3202,Storage_Bay
554,Tether_Reel,29.1,29.0,32.0,13.5,31,,4711,External_Storage
555,Medical_Scanner,41.2,33.3,34.0,23.32,58,2025-06-09,93,Medical_Bay
556,Laptop,49.9,33.0,43.6,35.9,76,,1786,Command_Center
557,Tool_Kit,12.4,25.9,21.3,4.2,65,,41,Storage_Bay
558,Communication_Device,37.3,28.4,28.6,15.15,71,,3489,Crew_Quarters
559,Tool_Kit,11.9,11.0,26.5,4.1,79,,72,Storage_Bay
560,Research_Samples,17.0,22.1,28.0,9.9,2,,274,Storage_Bay
561,EV_Suit_Battery,39.9,36.0,24.8,17.81,83,,729,Storage_Bay
562,LED_Work_Light,21.2,15.1,36.7,5.87,30,,4037,Engineering_Bay
563,Protein_Bars,16.2,42.5,35.1,12.08,59,,2229,Storage_Bay
564,Thruster_Fuel,16.8,49.8,33.7,14.1,45,,2929,Storage_Bay
565,Thruster_Fuel,34.4,16.8,47.4,13.7,61,,2641,Engine_Bay
566,Thruster_Fuel,49.1,43.1,48.5,51.32,6,,4812,Engine_Bay
567,Helmet_Visor,33.4,49.1,34.4,28.21,15,,3092,Crew_Quarters
568,Communication_Device,20.0,35.0,36.7,12.85,37,,1717,Command_Center
569,Water_Purification_Unit,49.3,29.7,15.8,11.57,90,,1714,Life_Support
570,Communication_Device,32.7,19.7,30.1,9.7,93,,868,Command_Center
571,Battery_Pack,41.0,31.7,45.5,29.57,59,,542,External_Storage
572,LED_Work_Light,22.3,42.8,17.7,8.45,67,,113,Engineering_Bay
573,Protein_Bars,32.2,46.8,31.3,23.58,26,,1550,Crew_Quarters
574,Microgravity_Lab_Kit,14.7,19.3,21.2,6.6,87,,19,Crew_Quarters
575,Tether_Reel,10.3,20.9,34.0,3.66,29,,3410,Airlock
576,Scientific_Sensor,30.1,25.6,32.0,12.33,62,,4424,Cockpit
577,Navigation_Module,27.4,49.5,39.4,26.72,61,,235,Cockpit
578,Emergency_Oxygen_Mask,10.9,26.1,15.7,2.23,49,,2330,Medical_Bay
579,3D_Printer,23.4,44.8,47.6,24.95,18,,4175,Lab
580,Helmet_Visor,26.0,44.2,36.7,21.09,64,,3440,Crew_Quarters
581,First_Aid_Kit,14.6,19.6,11.4,2.3,65,,51,Crew_Quarters
582,Communication_Device,19.9,40.1,17.7,7.06,59,,4127,Crew_Quarters
583,Research_Samples,26.4,18.3,11.3,8.2,42,,4084,Storage_Bay
584,Battery_Pack,47.4,20.2,10.5,5.03,63,,362,External_Storage
585,Emergency_Oxygen_Mask,41.0,46.0,15.6,14.71,64,,2801,Crew_Quarters
586,Gyroscope_Module,48.8,29.1,47.5,33.73,61,,470,Engineering_Bay
587,Medical_Scanner,26.9,13.6,42.4,7.76,63,2025-12-26,41,Medical_Bay
588,Waste_Management_Kit,28.4,21.7,10.3,8.9,55,,74,Sanitation_Bay
589,Research_Samples,14.7,26.3,25.9,6.1,95,,1043,Storage_Bay
590,Protein_Bars,49.5,41.1,41.0,41.71,94,,3430,Storage_Bay
591,Laptop,48.1,22.3,39.9,21.4,34,,1563,Command_Center
592,Emergency_Beacon,44.4,39.3,26.4,23.03,18,,660,Cockpit
593,Oxygen_Cylinder,28.1,18.7,61.1,28.7,35,,4286,Medical_Bay
594,Oxygen_Cylinder,23.4,18.2,60.2,21.1,55,,2240,Crew_Quarters
595,Fire_Extinguisher,20.9,40.3,23.6,9.94,83,,1919,Crew_Quarters
596,3D_Printer,46.6,18.9,25.8,11.36,72,,132,Lab
597,First_Aid_Kit,23.3,13.0,13.0,6.9,43,,2,Medical_Bay
598,Lab_Microscope,49.3,20.3,27.9,13.96,71,,551,Medical_Bay
599,EV_Suit_Battery,20.6,42.2,10.1,4.39,7,,177,Airlock
600,Fire_Extinguisher,27.3,39.4,18.7,10.06,62,,1831,Crew_Quarters
601,Tether_Reel,40.2,16.7,12.4,4.16,12,,4205,Airlock
602,Laptop,10.0,32.3,19.4,3.13,35,,4904,Crew_Quarters
603,First_Aid_Kit,16.0,19.8,27.4,2.3,42,,93,Medical_Bay
604,Cooling_System,38.2,18.6,49.1,17.44,11,,4356,Power_Bay
605,Navigation_Module,23.6,31.4,27.6,10.23,74,,1359,Command_Center
606,Emergency_Oxygen_Mask,10.9,19.2,33.6,3.52,96,,3719,Crew_Quarters
607,Communication_Device,37.2,19.6,26.1,9.52,10,,1832,Command_Center
608,Battery_Pack,45.1,28.4,40.2,25.74,63,,133,Power_Bay
609,Handheld_Spectrometer,11.5,13.6,16.5,1.29,11,,480,Lab
610,Helmet_Visor,35.6,21.2,38.5,14.53,68,,3530,Crew_Quarters
611,Vacuum_Sealed_Tools,13.4,31.1,29.6,6.17,48,,2967,Maintenance_Bay
612,Scientific_Sensor,12.4,32.4,29.4,5.91,90,,3057,Lab
613,Seed_Packets,28.1,13.2,24.7,1.9,68,,40,Lab
614,Cooling_System,14.1,38.6,32.0,8.71,48,,2336,Engineering_Bay
615,Laptop,18.8,18.2,16.3,2.79,42,,4548,Crew_Quarters
616,Lab_Microscope,48.2,12.7,45.0,13.77,35,,4579,Lab
617,Oxygen_Cylinder,26.4,21.6,43.4,29.4,68,,321,Medical_Bay
618,Gyroscope_Module,38.8,25.6,24.7,12.27,82,,3965,Cockpit
619,Navigation_Module,35.6,36.4,45.6,29.55,47,,4680,Cockpit
620,Food_Packet,12.3,19.5,14.7,6.3,22,2027-03-18,56,Storage_Bay
621,Water_Bottle,19.4,12.2,40.8,4.83,85,,2870,Crew_Quarters
622,Food_Packet,21.6,19.9,29.0,7.0,6,2026-07-15,68,Crew_Quarters
623,Handheld_Spectrometer,40.8,24.6,49.6,24.89,35,,3471,Lab
624,Laptop,44.8,36.5,12.9,10.55,34,,4927,Command_Center
625,Space_Suit,40.3,14.5,29.1,8.5,36,,3692,Storage_Bay
626,Space_Suit,12.8,21.0,39.4,5.3,44,,4685,Storage_Bay
627,Vacuum_Sealed_Tools,37.8,30.9,13.4,7.83,16,,309,Storage_Bay
628,Helmet_Visor,47.3,16.2,21.6,8.28,12,,647,Storage_Bay
629,Tether_Reel,23.2,23.3,16.7,4.51,30,,2309,External_Storage
630,Tool_Kit,28.4,10.7,11.2,7.3,82,,2,Storage_Bay
631,LED_Work_Light,21.9,26.3,37.6,10.83,88,,3482,Maintenance_Bay
632,Asteroid_Sample_Container,17.3,11.4,20.2,7.9,72,,2298,Storage_Bay
633,Antibiotic_Supply,24.9,31.2,46.6,18.1,94,2025-08-19,1151,Lab
634,Medical_Scanner,13.0,35.4,37.1,8.54,14,2025-05-29,75,Lab
635,Food_Packet,22.0,17.7,16.1,7.6,38,2027-02-08,16,Storage_Bay
636,Tool_Kit,15.0,24.6,28.5,7.5,60,,31,Storage_Bay
637,Scientific_Sensor,42.8,23.6,32.3,16.31,83,,2599,Cockpit
638,Battery_Pack,10.1,13.8,30.5,2.13,15,,439,Power_Bay
639,Circuit_Board,47.0,45.3,12.0,12.77,29,,24,Storage_Bay
640,Space_Suit,42.2,44.3,35.9,33.56,70,,3768,Airlock
641,Navigation_Module,18.5,47.9,22.6,10.01,57,,4601,Command_Center
642,Fire_Extinguisher,44.7,14.0,25.2,7.89,49,,2409,Crew_Quarters
643,Space_Suit,21.5,20.3,27.7,6.04,19,,2807,Airlock
644,Communication_Device,46.9,28.3,26.5,17.59,81,,3626,Crew_Quarters
645,Circuit_Board,17.4,49.7,18.3,7.91,75,,4458,Storage_Bay
646,Navigation_Module,32.1,40.7,24.1,15.74,62,,568,Command_Center
647,Tether_Reel,42.3,19.6,22.6,9.37,71,,4519,Airlock
648,Research_Samples,17.7,11.9,23.1,2.7,64,,3554,Lab
649,Handheld_Spectrometer,13.5,21.9,17.6,2.6,81,,4494,Lab
650,LED_Work_Light,21.1,12.3,43.8,5.68,28,,4963,Engineering_Bay
651,Communication_Device,21.5,30.0,22.0,7.09,50,,3510,Command_Center
652,Protein_Bars,15.4,29.5,16.3,3.7,52,,705,Crew_Quarters
653,Seed_Packets,29.6,20.1,15.8,8.9,88,,74,Greenhouse
654,Space_Suit,25.2,36.8,31.5,14.61,9,,4551,Storage_Bay
655,3D_Printer,27.5,31.6,11.8,5.13,86,,231,Lab
656,Radiation_Shield,27.7,35.2,27.9,13.6,41,,2684,Storage_Bay
657,Handheld_Spectrometer,30.8,44.7,12.5,8.6,46,,3028,Lab
658,Tether_Reel,40.1,30.0,37.2,22.38,88,,4481,Airlock
659,Circuit_Board,27.7,44.1,31.1,19.0,86,,24,Engineering_Bay
660,Research_Samples,24.0,29.2,16.5,3.6,15,,2276,Lab
661,Vacuum_Sealed_Tools,47.8,41.8,25.3,25.28,15,,3803,Storage_Bay
662,Battery_Pack,26.0,19.2,30.1,7.51,89,,786,Power_Bay
663,Food_Packet,26.0,28.3,21.7,5.0,59,2026-11-19,40,Storage_Bay
664,Asteroid_Sample_Container,11.5,15.5,24.2,9.7,91,,2700,Storage_Bay
665,Handheld_Spectrometer,48.5,10.2,16.9,4.18,36,,796,Lab
666,Tether_Reel,35.3,25.2,14.9,6.63,59,,4456,Airlock
667,Emergency_Oxygen_Mask,20.4,30.5,14.1,4.39,36,,343,Medical_Bay
668,Water_Purification_Unit,16.6,31.7,18.1,4.76,24,,856,Life_Support
669,Lab_Microscope,34.6,50.0,12.2,10.55,80,,4770,Medical_Bay
670,Seed_Packets,12.9,15.9,12.0,2.1,35,,11,Greenhouse
671,Helmet_Visor,34.7,22.0,29.4,11.22,98,,3036,Storage_Bay
672,First_Aid_Kit,13.3,28.7,29.2,6.7,34,,55,Medical_Bay
673,CO2_Scrubber,12.5,39.4,26.2,6.45,16,,192,Life_Support
674,Seed_Packets,15.3,13.7,24.7,7.3,83,,62,Lab
675,Water_Purification_Unit,28.4,21.5,30.3,9.25,16,,38,Crew_Quarters
676,Asteroid_Sample_Container,14.3,20.2,21.8,2.6,47,,2162,Lab
677,Protein_Bars,18.0,38.6,39.1,13.58,41,,4667,Crew_Quarters
678,Gyroscope_Module,19.8,39.0,25.0,9.65,98,,2582,Engineering_Bay
679,Laptop,46.5,42.4,18.8,18.53,38,,1507,Crew_Quarters
680,Water_Purification_Unit,22.3,27.0,46.6,14.03,11,,1631,Crew_Quarters
681,Pressure_Regulator,34.0,28.8,18.7,9.16,31,,635,Airlock
682,Emergency_Beacon,26.1,11.4,42.8,6.37,67,,1249,Cockpit
683,Gyroscope_Module,32.2,15.9,48.7,12.47,75,,3898,Cockpit
