item_id,zone,container_id,coordinates
358,Power_Bay,PB04,"(45.6,0,0),(66.0,48.8,21.6)"
359,Lab,L04,"(26.7,18.5,0),(51.2,49.2,36.5)"
360,Sanitation_Bay,SB04,"(0,0,0),(25.9,20.4,19.8)"
361,Power_Bay,PB04,"(66.0,0,0),(96.8,36.5,40.9)"
362,Greenhouse,G01,"(26.0,0,0),(39.5,16.7,23.7)"
363,Medical_Bay,EA03,"(0,0,34.8),(27.3,14.9,64.8)"
364,Storage_Bay,TA02,"(39.2,0,73.6),(72.0,43.7,86.6)"
365,Storage_Bay,TA02,"(0,0,86.6),(11.7,25.1,135.7)"
366,Power_Bay,PB02,"(71.2,0,0),(109.4,13.8,14.2)"
367,Engineering_Bay,EB01,"(12.3,0,128.8),(27.1,21.6,143.7)"
368,Lab,L03,"(0,33.3,30.7),(13.7,50.1,53.3)"
369,Storage_Bay,TA02,"(11.7,0,86.6),(30.2,33.5,112.1)"
370,Command_Center,CC02,"(43.6,48.9,0),(82.9,90.4,19.8)"
371,Crew_Quarters,CQ01,"(18.1,0,269.3),(35.9,16.4,290.4)"
372,Cockpit,C04,"(0,0,36.6),(47.6,12.3,76.5)"
373,Engineering_Bay,EB01,"(27.1,0,128.8),(51.2,26.2,147.2)"
374,Maintenance_Bay,MB04,"(0,0,32.1),(10.3,11.9,47.3)"
375,Lab,L02,"(46.7,29.6,21.5),(57.4,67.6,64.9)"
376,Crew_Quarters,CQ01,"(0,0,290.4),(14.4,31.7,309.7)"
377,Airlock,A03,"(0,69.5,0),(25.6,95.8,92.9)"
378,Storage_Bay,TA01,"(46.0,124.1,20.6),(83.8,137.7,54.7)"
379,Lab,L03,"(13.7,33.3,30.7),(48.1,61.4,63.1)"
380,Lab,L01,"(69.2,0,46.2),(94.8,32.1,58.5)"
381,Crew_Quarters,CQ02,"(26.6,127.1,41.1),(57.5,175.6,62.3)"
382,Engineering_Bay,EB01,"(51.2,0,128.8),(91.0,22.5,171.5)"
383,Lab,L02,"(57.4,29.6,21.5),(98.9,59.7,43.8)"
384,Storage_Bay,TA02,"(30.2,0,86.6),(40.6,14.2,106.1)"
385,Engineering_Bay,EB01,"(0,22.5,128.8),(37.1,39.4,142.8)"
386,Airlock,A02,"(0,0,43.0),(23.4,12.3,82.1)"
387,Storage_Bay,TA02,"(40.6,0,86.6),(71.8,34.3,98.0)"
388,Storage_Bay,TA01,"(0,137.7,20.6),(18.6,153.0,34.7)"
389,Medical_Bay,EA03,"(27.3,0,34.8),(42.3,24.9,62.8)"
390,Airlock,A01,"(20.1,42.7,0),(59.0,53.5,34.5)"
391,Storage_Bay,TA01,"(18.6,137.7,20.6),(44.8,178.5,51.7)"
392,Airlock,A02,"(23.4,0,43.0),(66.5,47.9,77.9)"
393,Medical_Bay,EA01,"(76.1,25.8,0),(106.7,58.4,15.0)"
394,Engineering_Bay,EB01,"(37.1,22.5,128.8),(53.4,38.3,143.4)"
395,Lab,L04,"(51.2,18.5,0),(72.8,45.8,17.4)"
396,Maintenance_Bay,MB04,"(10.3,0,32.1),(22.4,49.3,78.1)"
397,Crew_Quarters,CQ04,"(34.1,0,12.9),(49.2,48.7,41.7)"
398,Crew_Quarters,CQ01,"(14.4,0,290.4),(39.9,23.9,371.9)"
399,Lab,L01,"(0,0,58.5),(11.7,32.8,103.0)"
400,Crew_Quarters,CQ03,"(44.1,49.5,16.6),(88.8,82.0,38.7)"
401,Engineering_Bay,EB01,"(53.4,22.5,128.8),(65.4,51.8,147.1)"
402,Life_Support,LS04,"(48.4,0,0),(63.7,39.7,45.4)"
403,Engineering_Bay,EB01,"(65.4,22.5,128.8),(109.0,54.2,145.2)"
404,Crew_Quarters,CQ04,"(49.2,0,12.9),(77.0,15.7,32.6)"
405,Engineering_Bay,EB01,"(0,0,145.2),(37.5,27.6,164.8)"
406,Storage_Bay,TA02,"(0,34.3,86.6),(32.0,62.8,124.3)"
407,Command_Center,CC01,"(14.1,24.1,0),(43.1,54.9,12.8)"
408,Engineering_Bay,EB01,"(37.5,0,145.2),(59.0,16.9,175.2)"
409,Life_Support,LS05,"(0,12.8,0),(44.6,33.6,31.5)"
410,Crew_Quarters,CQ04,"(0,15.7,12.9),(29.0,35.3,23.7)"
411,Command_Center,CC01,"(43.1,24.1,0),(63.1,47.0,42.1)"
412,Cockpit,C03,"(0,37.0,0),(30.5,56.3,26.0)"
413,Sanitation_Bay,SB03,"(25.3,0,0),(46.5,26.1,17.1)"
414,Storage_Bay,TA01,"(44.8,137.7,20.6),(69.5,157.7,37.8)"
415,Engineering_Bay,EB01,"(59.0,0,145.2),(71.9,17.6,184.4)"
416,Maintenance_Bay,MB01,"(49.9,0,0),(62.6,29.8,19.5)"
417,Maintenance_Bay,MB02,"(0,34.8,0),(43.9,50.1,24.2)"
418,Engineering_Bay,EB01,"(71.9,0,145.2),(91.8,11.6,157.8)"
419,Lab,L04,"(72.8,18.5,0),(102.7,33.2,12.1)"
420,Storage_Bay,TA02,"(32.0,34.3,86.6),(46.5,77.9,99.7)"
421,Greenhouse,G02,"(29.9,0,0),(59.4,19.4,28.8)"
422,Engineering_Bay,EB01,"(0,11.6,145.2),(12.0,61.3,155.4)"
423,Airlock,A01,"(59.0,42.7,0),(91.8,86.2,27.2)"
424,Crew_Quarters,CQ02,"(0,0,62.3),(42.5,22.9,76.2)"
425,Lab,L03,"(48.1,33.3,30.7),(58.7,43.6,56.3)"
426,Crew_Quarters,CQ04,"(29.0,15.7,12.9),(42.9,48.1,36.6)"
427,External_Storage,ES01,"(73.7,0,0),(118.2,11.2,49.2)"
428,Lab,L03,"(58.7,33.3,30.7),(98.5,46.5,63.2)"
429,External_Storage,ES03,"(0,15.4,0),(29.0,37.4,28.7)"
430,Lab,L04,"(102.7,18.5,0),(144.2,32.5,41.0)"
431,Engineering_Bay,EB01,"(12.0,11.6,145.2),(24.9,59.4,180.1)"
432,Engineering_Bay,EB01,"(24.9,11.6,145.2),(69.2,55.5,192.9)"
433,Storage_Bay,TA01,"(69.5,137.7,20.6),(116.8,156.1,62.6)"
434,Crew_Quarters,CQ02,"(0,22.9,62.3),(15.8,42.8,80.9)"
435,Crew_Quarters,CQ03,"(0,0,38.7),(11.6,30.0,60.7)"
436,Lab,L01,"(11.7,0,58.5),(24.1,16.7,76.6)"
437,Lab,L01,"(24.1,0,58.5),(65.2,18.3,99.3)"
438,Engineering_Bay,EB01,"(0,0,192.9),(15.1,13.8,221.0)"
439,Command_Center,CC03,"(44.4,0,27.8),(87.1,36.9,64.9)"
440,Command_Center,CC02,"(0,90.4,0),(45.5,107.3,21.4)"
441,External_Storage,ES04,"(0,0,24.3),(33.0,39.7,56.3)"
442,Medical_Bay,EA02,"(0,0,111.7),(16.5,18.8,134.9)"
443,Power_Bay,PB02,"(109.4,0,0),(194.7,54.7,4.4)"
444,Crew_Quarters,CQ04,"(42.9,15.7,12.9),(62.6,27.3,40.1)"
445,Lab,L02,"(0,0,43.8),(29.2,28.1,83.0)"
446,Command_Center,CC01,"(63.1,24.1,0),(91.7,58.8,46.0)"
447,Cockpit,C05,"(0,0,32.9),(47.1,36.4,78.8)"
448,Engineering_Bay,EB01,"(15.1,0,192.9),(33.2,24.6,208.7)"
449,Lab,L03,"(0,46.5,30.7),(15.6,67.0,49.5)"
450,Airlock,A01,"(0,86.2,0),(45.5,127.6,20.4)"
451,Engineering_Bay,EB01,"(33.2,0,192.9),(70.1,21.0,221.8)"
452,Life_Support,LS01,"(0,0,47.0),(16.2,36.7,81.4)"
453,Maintenance_Bay,MB01,"(62.6,0,0),(82.5,12.9,47.0)"
454,Lab,L03,"(15.6,46.5,30.7),(49.2,86.4,42.7)"
455,Engine_Bay,NA03,"(30.9,0,0),(42.8,43.8,39.0)"
456,Life_Support,LS03,"(44.0,0,0),(92.7,38.5,31.5)"
457,Engineering_Bay,EB01,"(0,21.0,192.9),(29.1,44.1,220.0)"
458,Command_Center,CC02,"(45.5,90.4,0),(58.5,102.0,42.9)"
459,Lab,L04,"(144.2,18.5,0),(162.8,50.0,11.5)"
460,Engine_Bay,NA01,"(20.6,0,0),(31.3,41.8,42.5)"
461,Sanitation_Bay,SB01,"(0,16.2,0),(19.7,35.6,20.4)"
462,Command_Center,CC02,"(58.5,90.4,0),(103.2,102.8,30.7)"
463,Lab,L04,"(162.8,18.5,0),(182.2,29.3,14.0)"
464,Crew_Quarters,CQ02,"(15.8,22.9,62.3),(43.9,52.2,76.8)"
465,Life_Support,LS01,"(0,0,81.4),(11.5,32.2,126.9)"
466,Engineering_Bay,EB01,"(29.1,21.0,192.9),(70.5,39.0,208.5)"
467,Lab,L04,"(0,29.3,0),(36.4,53.9,29.9)"
468,Engineering_Bay,EB01,"(0,39.0,192.9),(22.6,85.6,242.5)"
469,External_Storage,ES03,"(29.0,15.4,0),(72.4,91.5,2.1)"
470,Life_Support,LS04,"(63.7,0,0),(94.5,38.4,15.0)"
471,Lab,L01,"(0,0,99.3),(12.6,45.5,119.5)"
472,Lab,L03,"(49.2,46.5,30.7),(71.5,56.5,45.4)"
473,Storage_Bay,TA02,"(46.5,34.3,86.6),(60.9,51.7,114.1)"
474,Crew_Quarters,CQ03,"(11.6,0,38.7),(50.5,49.0,87.5)"
475,Cockpit,C01,"(54.3,0,0),(101.5,28.2,24.2)"
476,Cockpit,C02,"(0,56.5,0),(48.7,76.9,49.8)"
477,Storage_Bay,TA02,"(60.9,34.3,86.6),(101.7,55.4,127.8)"
478,Storage_Bay,TA01,"(0,0,62.6),(43.7,28.7,103.3)"
479,Sanitation_Bay,SB02,"(25.4,0,0),(36.0,19.9,22.1)"
480,Command_Center,CC02,"(0,102.8,0),(14.1,123.4,39.3)"
481,Command_Center,CC03,"(0,36.9,27.8),(31.2,85.8,70.5)"
482,Cockpit,C03,"(30.5,37.0,0),(58.8,65.2,23.1)"
483,Lab,L02,"(29.2,0,43.8),(58.5,11.7,63.2)"
484,Engineering_Bay,EB01,"(22.6,39.0,192.9),(35.7,76.8,230.6)"
485,Engineering_Bay,EB01,"(35.7,39.0,192.9),(46.5,58.1,218.2)"
486,Storage_Bay,TA02,"(0,55.4,86.6),(10.0,71.6,110.0)"
487,Command_Center,CC02,"(14.1,102.8,0),(56.3,118.2,31.4)"
488,Engineering_Bay,EB01,"(46.5,39.0,192.9),(93.5,50.4,206.1)"
489,Engineering_Bay,EB01,"(0,50.4,192.9),(14.2,94.0,237.0)"
490,Storage_Bay,TA02,"(10.0,55.4,86.6),(33.9,100.7,129.4)"
491,Lab,L03,"(71.5,46.5,30.7),(96.8,94.4,75.8)"
492,Cockpit,C04,"(0,12.3,36.6),(24.3,38.6,68.8)"
493,Storage_Bay,TA01,"(43.7,0,62.6),(55.9,29.1,81.7)"
494,Storage_Bay,TA01,"(55.9,0,62.6),(105.4,12.5,99.8)"
495,Engineering_Bay,EB01,"(14.2,50.4,192.9),(55.1,91.6,207.3)"
496,Cockpit,C03,"(58.8,37.0,0),(92.9,56.4,41.2)"
497,Engineering_Bay,EB01,"(55.1,50.4,192.9),(67.9,98.0,214.3)"
498,Lab,L02,"(58.5,0,43.8),(72.9,26.6,69.9)"
499,Lab,L01,"(12.6,0,99.3),(26.9,41.1,146.8)"
500,Crew_Quarters,CQ04,"(62.6,15.7,12.9),(73.7,50.7,50.2)"
501,Life_Support,LS05,"(44.6,12.8,0),(82.0,57.7,42.4)"
502,Storage_Bay,TA02,"(33.9,55.4,86.6),(82.8,98.1,123.9)"
503,Storage_Bay,TA01,"(0,12.5,62.6),(15.0,25.0,83.4)"
504,Engineering_Bay,EB01,"(67.9,50.4,192.9),(85.2,96.1,225.4)"
505,Storage_Bay,TA01,"(15.0,12.5,62.6),(36.5,37.4,89.6)"
506,Lab,L02,"(72.9,0,43.8),(97.5,27.1,65.8)"
507,Airlock,A03,"(25.6,69.5,0),(42.7,107.3,23.8)"
508,Engineering_Bay,EB01,"(0,0,225.4),(35.5,10.4,251.0)"
509,Engineering_Bay,EB01,"(35.5,0,225.4),(58.9,37.4,244.9)"
510,Crew_Quarters,CQ02,"(0,52.2,62.3),(24.5,78.1,89.7)"
511,Command_Center,CC01,"(0,0,46.0),(34.7,37.3,82.4)"
512,Crew_Quarters,CQ04,"(73.7,15.7,12.9),(108.3,62.3,45.8)"
513,Lab,L04,"(36.4,29.3,0),(59.9,45.2,35.7)"
514,Medical_Bay,EA02,"(16.5,0,111.7),(33.8,29.3,167.5)"
515,Maintenance_Bay,MB02,"(43.9,34.8,0),(71.5,47.2,16.4)"
516,Crew_Quarters,CQ02,"(24.5,52.2,62.3),(52.0,66.3,104.6)"
517,Crew_Quarters,CQ02,"(0,66.3,62.3),(43.9,94.5,88.9)"
518,Lab,L02,"(0,27.1,43.8),(13.2,41.4,66.0)"
519,Airlock,A03,"(42.7,69.5,0),(62.9,106.9,25.7)"
520,Power_Bay,PB05,"(94.3,0,0),(180.5,76.8,2.2)"
521,Crew_Quarters,CQ04,"(0,0,45.8),(36.3,36.8,82.5)"
522,Command_Center,CC02,"(56.3,102.8,0),(79.0,131.2,17.7)"
523,Storage_Bay,TA01,"(36.5,12.5,62.6),(83.5,49.8,107.0)"
524,Airlock,A02,"(0,0,77.9),(19.3,34.5,115.7)"
525,Engineering_Bay,EB01,"(58.9,0,225.4),(100.8,13.2,254.6)"
526,Engineering_Bay,EB01,"(0,13.2,225.4),(48.2,58.0,266.1)"
527,Storage_Bay,TA02,"(0,0,123.9),(10.3,37.4,140.0)"
528,Storage_Bay,TA02,"(10.3,0,123.9),(26.0,28.7,136.0)"
529,Crew_Quarters,CQ02,"(0,94.5,62.3),(42.0,144.4,94.5)"
530,Storage_Bay,TA02,"(26.0,0,123.9),(47.1,43.7,150.5)"
531,Medical_Bay,EA03,"(42.3,0,34.8),(89.4,30.7,55.6)"
532,Engineering_Bay,EB01,"(48.2,13.2,225.4),(64.7,59.6,240.4)"
533,Engineering_Bay,EB01,"(64.7,13.2,225.4),(112.8,46.5,247.1)"
534,Storage_Bay,TA02,"(47.1,0,123.9),(89.1,39.8,139.4)"
535,Medical_Bay,EA01,"(0,0,15.0),(41.6,47.0,34.1)"
536,Medical_Bay,EA02,"(33.8,0,111.7),(52.0,20.8,133.1)"
537,Crew_Quarters,CQ03,"(50.5,0,38.7),(79.5,28.4,91.6)"
538,Engineering_Bay,EB01,"(0,46.5,225.4),(47.4,69.1,245.4)"
539,Lab,L04,"(59.9,29.3,0),(87.4,42.4,42.1)"
540,Maintenance_Bay,MB04,"(22.4,0,32.1),(38.6,16.4,48.6)"
541,Airlock,A01,"(45.5,86.2,0),(73.5,123.4,23.3)"
542,External_Storage,ES01,"(0,11.2,0),(74.0,59.8,1.3)"
543,Maintenance_Bay,MB01,"(0,12.9,0),(26.1,26.0,35.4)"
544,Lab,L02,"(13.2,27.1,43.8),(34.0,71.3,60.3)"
545,Engineering_Bay,EB01,"(47.4,46.5,225.4),(90.6,64.2,252.0)"
546,Engine_Bay,NA02,"(30.1,0,0),(56.1,24.8,29.4)"
547,Lab,L01,"(26.9,0,99.3),(67.1,39.8,110.9)"
548,Power_Bay,PB01,"(43.0,0,1.3),(70.6,10.2,12.5)"
549,Storage_Bay,TA01,"(0,49.8,62.6),(22.2,86.0,82.2)"
550,Engineering_Bay,EB01,"(0,64.2,225.4),(45.5,95.3,251.3)"
551,Lab,L04,"(87.4,29.3,0),(100.7,49.0,25.6)"
552,Storage_Bay,TA01,"(22.2,49.8,62.6),(69.4,90.0,80.3)"
553,Storage_Bay,TA02,"(0,39.8,123.9),(43.2,71.0,171.2)"
554,External_Storage,ES01,"(0,0,1.3),(29.1,29.0,33.3)"
555,Medical_Bay,EA03,"(0,30.7,34.8),(41.2,64.0,68.8)"
556,Command_Center,CC02,"(0,131.2,0),(49.9,164.2,43.6)"
557,Storage_Bay,TA01,"(0,90.0,62.6),(12.4,115.9,83.9)"
558,Crew_Quarters,CQ04,"(36.3,0,45.8),(73.6,28.4,74.4)"
559,Storage_Bay,TA01,"(12.4,90.0,62.6),(24.3,101.0,89.1)"
560,Storage_Bay,TA01,"(24.3,90.0,62.6),(41.3,112.1,90.6)"
561,Storage_Bay,TA01,"(41.3,90.0,62.6),(81.2,126.0,87.4)"
562,Engineering_Bay,EB01,"(45.5,64.2,225.4),(66.7,79.3,262.1)"
563,Storage_Bay,TA02,"(43.2,39.8,123.9),(59.4,82.3,159.0)"
564,Storage_Bay,TA01,"(0,126.0,62.6),(16.8,175.8,96.3)"
565,Engine_Bay,NA01,"(31.3,0,0),(65.7,16.8,47.4)"
566,Engine_Bay,NA03,"(42.8,0,0),(91.9,43.1,48.5)"
567,Crew_Quarters,CQ03,"(0,28.4,38.7),(33.4,77.5,73.1)"
568,Command_Center,CC01,"(34.7,0,46.0),(54.7,35.0,82.7)"
569,Life_Support,LS01,"(11.5,0,81.4),(60.8,29.7,97.2)"
570,Command_Center,CC03,"(31.2,36.9,27.8),(63.9,56.6,57.9)"
571,External_Storage,ES03,"(0,91.5,0),(41.0,123.2,45.5)"
572,Engineering_Bay,EB01,"(66.7,64.2,225.4),(89.0,107.0,243.1)"
573,Crew_Quarters,CQ02,"(0,0,94.5),(32.2,46.8,125.8)"
574,Crew_Quarters,CQ04,"(0,28.4,45.8),(14.7,47.7,67.0)"
575,Airlock,A03,"(62.9,69.5,0),(73.2,90.4,34.0)"
576,Cockpit,C01,"(0,28.2,0),(30.1,53.8,32.0)"
577,Cockpit,C04,"(0,0,68.8),(27.4,49.5,108.2)"
578,Medical_Bay,EA02,"(52.0,0,111.7),(62.9,26.1,127.4)"
579,Lab,L02,"(34.0,27.1,43.8),(57.4,71.9,91.4)"
580,Crew_Quarters,CQ04,"(14.7,28.4,45.8),(40.7,72.6,82.5)"
581,Crew_Quarters,CQ02,"(0,46.8,94.5),(14.6,66.4,105.9)"
582,Crew_Quarters,CQ03,"(33.4,28.4,38.7),(53.3,68.5,56.4)"
583,Storage_Bay,TA02,"(59.4,39.8,123.9),(85.8,58.1,135.2)"
584,External_Storage,ES01,"(29.1,0,1.3),(76.5,20.2,11.8)"
585,Crew_Quarters,CQ02,"(14.6,46.8,94.5),(55.6,92.8,110.1)"
586,Engineering_Bay,EB01,"(0,0,243.1),(48.8,29.1,290.6)"
587,Medical_Bay,EA02,"(62.9,0,111.7),(89.8,13.6,154.1)"
588,Sanitation_Bay,SB04,"(25.9,0,0),(54.3,21.7,10.3)"
589,Storage_Bay,TA02,"(0,58.1,123.9),(14.7,84.4,149.8)"
590,Storage_Bay,TA02,"(14.7,58.1,123.9),(64.2,99.2,164.9)"
591,Command_Center,CC01,"(54.7,0,46.0),(102.8,22.3,85.9)"
592,Cockpit,C02,"(0,0,49.8),(44.4,39.3,76.2)"
593,Medical_Bay,EA01,"(41.6,0,15.0),(69.7,18.7,76.1)"
594,Crew_Quarters,CQ04,"(40.7,28.4,45.8),(64.1,46.6,106.0)"
595,Crew_Quarters,CQ03,"(53.3,28.4,38.7),(74.2,68.7,62.3)"
596,Lab,L01,"(0,0,110.9),(46.6,18.9,136.7)"
597,Medical_Bay,EA02,"(0,0,154.1),(23.3,13.0,167.1)"
598,Medical_Bay,EA02,"(23.3,0,154.1),(72.6,20.3,182.0)"
599,Airlock,A03,"(73.2,69.5,0),(93.8,111.7,10.1)"
600,Crew_Quarters,CQ04,"(64.1,28.4,45.8),(91.4,67.8,64.5)"
601,Airlock,A02,"(19.3,0,77.9),(59.5,16.7,90.3)"
602,Crew_Quarters,CQ02,"(0,92.8,94.5),(10.0,125.1,113.9)"
603,Medical_Bay,EA01,"(69.7,0,15.0),(85.7,19.8,42.4)"
604,Power_Bay,PB05,"(0,0,2.2),(38.2,18.6,51.3)"
605,Command_Center,CC03,"(63.9,36.9,27.8),(87.5,68.3,55.4)"
606,Crew_Quarters,CQ03,"(74.2,28.4,38.7),(85.1,47.6,72.3)"
607,Command_Center,CC03,"(0,0,55.4),(37.2,19.6,81.5)"
608,Power_Bay,PB01,"(70.6,0,1.3),(115.7,28.4,41.5)"
609,Lab,L04,"(100.7,29.3,0),(112.2,42.9,16.5)"
610,Crew_Quarters,CQ02,"(10.0,92.8,94.5),(45.6,114.0,133.0)"
611,Maintenance_Bay,MB02,"(71.5,34.8,0),(84.9,65.9,29.6)"
612,Lab,L03,"(0,0,75.8),(12.4,32.4,105.2)"
613,Lab,L04,"(112.2,29.3,0),(140.3,42.5,24.7)"
614,Engineering_Bay,EB01,"(48.8,0,243.1),(62.9,38.6,275.1)"
615,Crew_Quarters,CQ03,"(85.1,28.4,38.7),(103.9,46.6,55.0)"
616,Lab,L04,"(140.3,29.3,0),(188.5,42.0,45.0)"
617,Medical_Bay,EA03,"(41.2,30.7,34.8),(67.6,52.3,78.2)"
618,Cockpit,C03,"(0,56.4,0),(38.8,82.0,24.7)"
619,Cockpit,C01,"(30.1,28.2,0),(65.7,64.6,45.6)"
620,Storage_Bay,TA01,"(16.8,126.0,62.6),(29.1,145.5,77.3)"
621,Crew_Quarters,CQ03,"(0,46.6,38.7),(19.4,58.8,79.5)"
622,Crew_Quarters,CQ04,"(0,0,64.5),(21.6,19.9,93.5)"
623,Lab,L03,"(12.4,0,75.8),(53.2,24.6,125.4)"
624,Command_Center,CC02,"(49.9,131.2,0),(94.7,167.7,12.9)"
625,Storage_Bay,TA01,"(29.1,126.0,62.6),(69.4,140.5,91.7)"
626,Storage_Bay,TA01,"(0,140.5,62.6),(12.8,161.5,102.0)"
627,Storage_Bay,TA01,"(12.8,140.5,62.6),(50.6,171.4,76.0)"
628,Storage_Bay,TA01,"(50.6,140.5,62.6),(97.9,156.7,84.2)"
629,External_Storage,ES04,"(0,39.7,24.3),(23.2,63.0,41.0)"
630,Storage_Bay,TA01,"(0,0,84.2),(28.4,10.7,95.4)"
631,Maintenance_Bay,MB04,"(38.6,0,32.1),(60.5,26.3,69.7)"
632,Storage_Bay,TA01,"(28.4,0,84.2),(45.7,11.4,104.4)"
633,Lab,L01,"(46.6,0,110.9),(71.5,31.2,157.5)"
634,Lab,L04,"(0,42.0,0),(13.0,77.4,37.1)"
635,Storage_Bay,TA01,"(45.7,0,84.2),(67.7,17.7,100.3)"
636,Storage_Bay,TA01,"(67.7,0,84.2),(82.7,24.6,112.7)"
637,Cockpit,C05,"(47.1,0,32.9),(89.9,23.6,65.2)"
638,Power_Bay,PB03,"(49.3,0,1.3),(59.4,13.8,31.8)"
639,Storage_Bay,TA01,"(82.7,0,84.2),(129.7,45.3,96.2)"
640,Airlock,A03,"(0,111.7,0),(42.2,156.0,35.9)"
641,Command_Center,CC01,"(0,22.3,46.0),(18.5,70.2,68.6)"
642,Crew_Quarters,CQ03,"(19.4,46.6,38.7),(64.1,60.6,63.9)"
643,Airlock,A01,"(0,123.4,0),(21.5,143.7,27.7)"
644,Crew_Quarters,CQ04,"(21.6,0,64.5),(68.5,28.3,91.0)"
645,Storage_Bay,TA01,"(0,45.3,84.2),(17.4,95.0,102.5)"
646,Command_Center,CC03,"(37.2,0,55.4),(69.3,40.7,79.5)"
647,Airlock,A02,"(59.5,0,77.9),(101.8,19.6,100.5)"
648,Lab,L02,"(57.4,27.1,43.8),(75.1,39.0,66.9)"
649,Lab,L02,"(75.1,27.1,43.8),(88.6,49.0,61.4)"
650,Engineering_Bay,EB01,"(62.9,0,243.1),(84.0,12.3,286.9)"
651,Command_Center,CC02,"(0,0,12.9),(21.5,30.0,34.9)"
652,Crew_Quarters,CQ02,"(0,114.0,94.5),(15.4,143.5,110.8)"
653,Greenhouse,G01,"(39.5,0,0),(69.1,20.1,15.8)"
654,Storage_Bay,TA01,"(17.4,45.3,84.2),(42.6,82.1,115.7)"
655,Lab,L02,"(0,49.0,43.8),(27.5,80.6,55.6)"
656,Storage_Bay,TA01,"(42.6,45.3,84.2),(70.3,80.5,112.1)"
657,Lab,L04,"(13.0,42.0,0),(43.8,86.7,12.5)"
658,Airlock,A01,"(21.5,123.4,0),(61.6,153.4,37.2)"
659,Engineering_Bay,EB01,"(0,12.3,243.1),(27.7,56.4,274.2)"
660,Lab,L01,"(71.5,0,110.9),(95.5,29.2,127.4)"
661,Storage_Bay,TA01,"(70.3,45.3,84.2),(118.1,87.1,109.5)"
662,Power_Bay,PB02,"(0,0,4.4),(26.0,19.2,34.5)"
663,Storage_Bay,TA01,"(0,87.1,84.2),(26.0,115.4,105.9)"
664,Storage_Bay,TA01,"(26.0,87.1,84.2),(37.5,102.6,108.4)"
665,Lab,L03,"(53.2,0,75.8),(101.7,10.2,92.7)"
666,Airlock,A02,"(0,19.6,77.9),(35.3,44.8,92.8)"
667,Medical_Bay,EA01,"(0,19.8,15.0),(20.4,50.3,29.1)"
668,Life_Support,LS04,"(0,0,15.0),(16.6,31.7,33.1)"
669,Medical_Bay,EA02,"(0,0,182.0),(34.6,50.0,194.2)"
670,Greenhouse,G03,"(21.9,0,0),(34.8,15.9,12.0)"
671,Storage_Bay,TA01,"(37.5,87.1,84.2),(72.2,109.1,113.6)"
672,Medical_Bay,EA01,"(20.4,19.8,15.0),(33.7,48.5,44.2)"
673,Life_Support,LS04,"(16.6,0,15.0),(29.1,39.4,41.2)"
674,Lab,L02,"(27.5,49.0,43.8),(42.8,62.7,68.5)"
675,Crew_Quarters,CQ03,"(0,60.6,38.7),(28.4,82.1,69.0)"
676,Lab,L02,"(42.8,49.0,43.8),(57.1,69.2,65.6)"
677,Crew_Quarters,CQ02,"(15.4,114.0,94.5),(33.4,152.6,133.6)"
678,Engineering_Bay,EB01,"(27.7,12.3,243.1),(47.5,51.3,268.1)"
679,Crew_Quarters,CQ03,"(28.4,60.6,38.7),(74.9,103.0,57.5)"
680,Crew_Quarters,CQ04,"(0,28.3,64.5),(22.3,55.3,111.1)"
681,Airlock,A02,"(35.3,19.6,77.9),(69.3,48.4,96.6)"
682,Cockpit,C03,"(38.8,56.4,0),(64.9,67.8,42.8)"
683,Cockpit,C04,"(0,0,108.2),(32.2,15.9,156.9)"
684,Engineering_Bay,EB01,"(47.5,12.3,243.1),(76.3,26.0,263.6)"
685,Cockpit,C03,"(64.9,56.4,0),(108.2,98.8,49.9)"
686,Crew_Quarters,CQ02,"(0,0,133.6),(22.7,31.1,156.8)"
687,Storage_Bay,TA01,"(0,109.1,84.2),(11.6,121.5,98.3)"
688,Engine_Bay,NA02,"(56.1,0,0),(103.1,19.4,20.4)"
689,Engine_Bay,NA01,"(65.7,0,0),(98.2,47.7,18.7)"
690,Engineering_Bay,EB01,"(0,26.0,243.1),(46.2,54.5,269.9)"
691,Storage_Bay,TA01,"(11.6,109.1,84.2),(53.0,145.8,106.1)"
692,Engineering_Bay,EB01,"(46.2,26.0,243.1),(68.8,53.5,286.6)"
693,Crew_Quarters,CQ02,"(22.7,0,133.6),(37.5,45.5,178.1)"
694,Storage_Bay,TA01,"(53.0,109.1,84.2),(64.3,141.2,112.9)"
695,Storage_Bay,TA01,"(64.3,109.1,84.2),(91.1,127.0,102.0)"
696,Crew_Quarters,CQ04,"(22.3,28.3,64.5),(41.1,53.8,142.3)"
697,Cockpit,C02,"(0,39.3,49.8),(40.3,79.9,63.4)"
698,Greenhouse,G04,"(24.8,0,0),(51.4,19.6,21.2)"
699,Power_Bay,PB03,"(59.4,0,1.3),(91.6,32.6,13.1)"
700,Crew_Quarters,CQ03,"(0,0,57.5),(16.4,27.6,85.2)"
701,Lab,L01,"(0,0,127.4),(22.1,33.7,156.9)"
702,Storage_Bay,TA01,"(0,127.0,84.2),(48.4,162.9,132.0)"
703,Power_Bay,PB04,"(0,0,40.9),(40.7,42.0,43.4)"
704,Storage_Bay,TA01,"(48.4,127.0,84.2),(69.3,143.4,94.8)"
705,Cockpit,C05,"(0,0,65.2),(23.4,34.3,75.5)"
